,channel,id,condition,ERDS
0,C3,9,imagine left,0.5207475443559254
1,C3,9,imagine right,0.7114224719836654
2,C3,10,imagine left,0.152104385827039
3,C3,10,imagine right,-0.1265214383071597
4,C3,12,imagine left,-0.19958839645163326
5,C3,12,imagine right,0.04372882332744695
6,C3,13,imagine left,0.20904269624349534
7,C3,13,imagine right,0.24461774441795447
8,C3,14,imagine left,0.9956124390487152
9,C3,14,imagine right,0.16800897833384404
10,C3,15,imagine left,0.3977231963537683
11,C3,15,imagine right,0.018104191275840297
12,C3,16,imagine left,0.3985266987560538
13,C3,16,imagine right,0.009458802376662964
14,C3,26,imagine left,0.5514372255879514
15,C3,26,imagine right,-0.09325345580213654
16,C3,27,imagine left,0.33902492424961983
17,C3,27,imagine right,-0.008038003163336459
18,C3,28,imagine left,0.21696872584345436
19,C3,28,imagine right,0.03785063583449226
20,C3,29,imagine left,0.08876385998447173
21,C3,29,imagine right,0.29105965129722816
22,C3,30,imagine left,0.7325616825882232
23,C3,30,imagine right,-0.18725869559125613
24,C3,31,imagine left,-0.010890224763421826
25,C3,31,imagine right,0.17138991180172727
26,C3,32,imagine left,0.08621842374021824
27,C3,32,imagine right,0.1472354369996072
28,C3,33,imagine left,-0.06968710660316864
29,C3,33,imagine right,0.6256816484521023
30,C3,34,imagine left,0.27477338820880076
31,C3,34,imagine right,-0.07463038135920577
32,C4,9,imagine left,0.2516977175716256
33,C4,9,imagine right,0.4977783338403133
34,C4,10,imagine left,0.3198737122613707
35,C4,10,imagine right,0.9163335220088424
36,C4,12,imagine left,0.08892564228000023
37,C4,12,imagine right,0.512256811314727
38,C4,13,imagine left,0.3716148217568499
39,C4,13,imagine right,-0.02076550094797364
40,C4,14,imagine left,0.22953896439813623
41,C4,14,imagine right,0.1916776757036574
42,C4,15,imagine left,0.14864151778304638
43,C4,15,imagine right,-0.01078271396606618
44,C4,16,imagine left,0.36849543663320505
45,C4,16,imagine right,0.1383778989441662
46,C4,26,imagine left,-0.046895217676627715
47,C4,26,imagine right,0.9124152473136041
48,C4,27,imagine left,0.19075574449854513
49,C4,27,imagine right,0.3991674487006023
50,C4,28,imagine left,0.564575431271006
51,C4,28,imagine right,0.1641740086163827
52,C4,29,imagine left,0.012551816048135853
53,C4,29,imagine right,0.21460843355918474
54,C4,30,imagine left,-0.04987396644385209
55,C4,30,imagine right,-0.07233429930293742
56,C4,31,imagine left,-0.09294699513174703
57,C4,31,imagine right,0.17221208513222122
58,C4,32,imagine left,0.017412591394803292
59,C4,32,imagine right,0.2949872001581269
60,C4,33,imagine left,0.14953355069484264
61,C4,33,imagine right,0.5479830614378616
62,C4,34,imagine left,0.4802479831553848
63,C4,34,imagine right,-0.08120843923301141
